duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
0.666286916,0.57774023,0.248644021,0.039279942,0.151331306,0.441503402,0.996257412,0.739421069,0.042405695,0.244036339,0.399108565,0.686254641,0.796067524,0.378838484,0.419958321,0.789836891,0.860530985,0.282185639,0.182133049,0.829888176,0.774149891,0.73710381,0.9079845,0.812749925,0.500396566,0.951802086,0.241732519,0.753272465,0.022563609,0.22149932,0.222120666,0.250969912,0.223672236,0.336816917,0.546493003,0.529455634,0.591124752,0.470903673,0.53959332,0.518794838,0.616669417,U2R
0.143013961,0.729235366,0.539982735,0.485997215,0.05543588,0.291891671,0.143944262,0.858331727,0.30424248,0.901081552,0.515481477,0.971067348,0.25045722,0.816186167,0.23916931,0.619287543,0.761644201,0.355710708,0.959678051,0.491384667,0.867744649,0.874403654,0.134676082,0.323630115,0.595581986,0.105730614,0.688256128,0.435214704,0.206914859,0.71957638,0.435650869,0.924347694,0.610218317,0.755973288,0.713820502,0.68831215,0.311609788,0.24692343,0.600186805,0.153257166,0.676371045,normal
0.401812951,0.101388983,0.961498988,0.367040612,0.133935024,0.567279755,0.080431487,0.875794562,0.603444841,0.235740235,0.644142098,0.450109702,0.979410588,0.760250649,0.748642892,0.964860285,0.960529871,0.286414116,0.219114679,0.576606865,0.390512644,0.662841959,0.089503653,0.395015522,0.748394765,0.131593423,0.890262319,0.879493038,0.491615427,0.231720465,0.673778846,0.854635408,0.077247139,0.519866516,0.716783686,0.535350292,0.71146539,0.86113098,0.122357454,0.578371858,0.511315374,DoS
0.887278157,0.168008679,0.660707925,0.656650804,0.614879315,0.400250198,0.853976862,0.907267395,0.469451844,0.998242072,0.084039235,0.882376061,0.766367726,0.989722587,0.14538337,0.400523113,0.922133089,0.025158811,0.402959149,0.688398506,0.477551725,0.409202848,0.131202421,0.775042225,0.487490996,0.693310224,0.017564498,0.897226794,0.648748519,0.510519157,0.000475427,0.775752058,0.054651475,0.465110831,0.425284884,0.847906442,0.124341535,0.096678017,0.026863983,0.574663301,0.226657139,U2R
0.360108631,0.274257815,0.064114535,0.353498998,0.531029913,0.539846053,0.00138118,0.897987815,0.350272148,0.597417733,0.445292286,0.247119358,0.086146073,0.586556408,0.813179195,0.93684288,0.651965748,0.082201929,0.398988689,0.557699729,0.672397935,0.311400198,0.687506797,0.938911471,0.014663985,0.942051303,0.103302984,0.862303632,0.811238116,0.624444616,0.327806188,0.751935994,0.118314821,0.551458582,0.166496507,0.943282755,0.372073224,0.051407091,0.98398669,0.456050855,0.74622184,DoS
0.850274009,0.941599232,0.924617724,0.34319619,0.729147663,0.75948449,0.886022475,0.920350417,0.653995766,0.401912498,0.157713288,0.338185616,0.35334779,0.119558314,0.692324664,0.225064538,0.369976309,0.786524834,0.334545004,0.364988912,0.256009707,0.275218354,0.99232302,0.125886329,0.704594103,0.487178748,0.334697368,0.954023416,0.816967716,0.079685284,0.099890916,0.250207408,0.056405123,0.625884756,0.63643066,0.71008806,0.02278736,0.80228466,0.979380498,0.661169821,0.762882071,U2R
0.735620014,0.145130005,0.205854891,0.966403107,0.48508521,0.800648171,0.965887489,0.284765873,0.097395017,0.042020608,0.8197773,0.267168537,0.446228113,0.272962113,0.400764942,0.85874112,0.900938082,0.221496377,0.845295556,0.544211583,0.945514744,0.265535369,0.878519452,0.537217695,0.875663337,0.858016679,0.736315205,0.963610319,0.199592395,0.743988189,0.720876027,0.584900025,0.372695982,0.293924992,0.931000934,0.789371944,0.332431603,0.732095863,0.953177451,0.435912105,0.246968153,DoS
0.183525287,0.559696733,0.084221199,0.780539541,0.526665781,0.034713568,0.469996096,0.107960951,0.031405465,0.353610291,0.266064888,0.517445563,0.463036587,0.955439219,0.877839816,0.658941807,0.402704383,0.72111276,0.769211578,0.911070339,0.315833657,0.660558719,0.477613382,0.216934972,0.510301011,0.69472709,0.065880839,0.156661446,0.437312797,0.288128214,0.663385715,0.455612642,0.380280465,0.651477501,0.265022915,0.504155696,0.382770113,0.65160935,0.092912901,0.658585934,0.789936284,DoS
0.230328516,0.403326817,0.983054287,0.165664626,0.751390138,0.481712311,0.040217381,0.836313212,0.18629562,0.017584068,0.065182433,0.691680954,0.177856168,0.907830759,0.578474365,0.905060341,0.09585199,0.824623699,0.135615378,0.664829583,0.421941377,0.171003901,0.324449147,0.33916361,0.90770403,0.79741061,0.670594917,0.658144097,0.353137491,0.892629708,0.398266382,0.940193567,0.009809934,0.549901527,0.91155589,0.460057235,0.570545465,0.555800719,0.166111671,0.896088735,0.654718378,normal
0.997718414,0.018689994,0.040127078,0.548870708,0.697807105,0.649123105,0.498375311,0.473083504,0.162062481,0.856360152,0.149561106,0.134727961,0.670918707,0.270394838,0.45008068,0.67248033,0.572639121,0.813742017,0.694879125,0.410433214,0.935602996,0.246418208,0.348327558,0.526600453,0.302725575,0.384349857,0.915328227,0.758980862,0.124536053,0.021512633,0.126365213,0.9663851,0.44542142,0.686608618,0.872161252,0.295548174,0.467446414,0.111627457,0.851206446,0.051675719,0.575920627,Probe
